ILA007	2	228.15 	1.88 	5.24 	5.80 	121.85	24.59		
TAP080	2	272.54 	1.18 	3.12 	3.44 	121.95	25.02		
KAU100	3	43.70 	16.60 	24.60 	22.54 	120.31	22.59		
TCU105	3	145.77 	5.34 	10.76 	9.94 	120.57	24.24		
TCU048	3	139.21 	7.98 	14.88 	14.04 	120.60	24.18		
TCU104	3	146.51 	6.54 	21.10 	13.24 	120.61	24.24		
TCU057	3	138.47 	3.78 	18.38 	15.52 	120.62	24.17		
TCU120	3	117.16 	10.88 	16.20 	19.02 	120.62	23.98		
KAU034	3	44.44 	5.08 	9.78 	7.30 	120.63	22.53		
KAU051	3	61.70 	7.86 	9.80 	16.16 	120.63	22.37		
TCU100	3	139.99 	4.16 	16.24 	14.06 	120.63	24.18		
TCU050	3	139.66 	3.46 	9.72 	7.76 	120.64	24.18		
TCU165	3	133.91 	7.24 	17.66 	10.66 	120.64	24.13		
TCU060	3	144.38 	6.24 	11.44 	12.60 	120.65	24.22		
TCU135	3	156.68 	5.48 	13.20 	10.90 	120.65	24.33		
TCU133	3	134.78 	5.72 	15.26 	10.86 	120.66	24.13		
TCU136	3	148.47 	5.74 	13.64 	17.72 	120.66	24.26		
TCU038	3	174.39 	5.74 	13.46 	18.88 	120.67	24.49		
TCU055	3	135.33 	6.02 	12.66 	12.98 	120.67	24.14		
TCU037	3	174.44 	5.70 	9.16 	8.40 	120.68	24.49		
TCU053	3	141.33 	5.14 	14.78 	12.16 	120.68	24.19		
TCU062	3	132.90 	6.66 	15.74 	19.22 	120.68	24.11		
TCU076	3	109.96 	6.20 	18.28 	16.20 	120.68	23.91		
TCU082	3	136.27 	3.98 	9.82 	10.46 	120.68	24.15		
TCU159	3	109.95 	12.62 	14.76 	12.68 	120.68	23.91		
KAU038	3	82.49 	5.30 	13.18 	12.36 	120.69	22.19		
TCU054	3	137.76 	6.06 	11.84 	10.06 	120.69	24.16		
TCU075	3	118.27 	10.28 	0.00 	12.94 	120.69	23.98		
TCU124	3	110.89 	15.42 	24.14 	24.94 	120.69	23.91		
TCU041	3	163.21 	5.64 	15.42 	18.92 	120.70	24.39		
TCU049	3	139.93 	5.40 	14.58 	11.08 	120.70	24.18		
TCU066	3	144.00 	5.68 	12.12 	16.94 	120.70	24.21		
TCU099	3	135.42 	4.58 	11.76 	11.64 	120.70	24.14		
TCU036	3	169.66 	7.94 	10.72 	12.36 	120.71	24.45		
TCU058	3	148.02 	6.02 	13.08 	15.96 	120.71	24.25		
TCU101	3	146.96 	6.30 	11.68 	13.56 	120.72	24.24		
TCU103	3	154.43 	5.08 	10.28 	10.46 	120.72	24.31		
TCU156	3	149.14 	5.70 	12.14 	9.64 	120.72	24.26		
TCU067	3	130.72 	7.94 	14.92 	14.26 	120.73	24.09		
KAU046	3	103.80 	5.08 	14.18 	10.98 	120.75	22.00		
KAU081	3	103.25 	7.38 	11.38 	11.22 	120.75	22.01		
KAU098	3	108.63 	4.26 	7.86 	9.66 	120.75	21.96		
TCU052	3	142.68 	11.50 	17.66 	20.02 	120.75	24.20		
TCU068	3	151.78 	7.98 	16.34 	13.30 	120.77	24.28		
TCU128	3	166.87 	6.00 	13.48 	7.28 	120.77	24.41		
TCU087	3	159.60 	13.08 	15.18 	18.84 	120.78	24.35		
TCU039	3	175.43 	8.46 	23.06 	12.10 	120.79	24.49		
TCU071	3	120.45 	5.56 	15.38 	12.10 	120.80	23.98		
TCU042	3	182.79 	7.02 	15.36 	16.84 	120.81	24.55		
TCU032	3	179.35 	5.44 	18.06 	12.96 	120.82	24.52		
TCU154	3	181.62 	3.62 	8.40 	8.20 	120.82	24.54		
TCU132	3	185.20 	5.04 	8.58 	9.60 	120.83	24.57		
TCU072	3	128.08 	12.14 	22.68 	16.50 	120.86	24.04		
TTN053	3	67.96 	6.48 	10.20 	9.70 	120.86	22.38		
TCU034	3	192.85 	6.06 	12.08 	12.88 	120.87	24.64		
TCU142	3	122.12 	5.48 	13.94 	12.56 	120.88	23.98		
TCU098	3	204.96 	3.56 	14.64 	11.06 	120.91	24.74		
TCU045	3	183.27 	3.34 	9.12 	5.42 	120.92	24.54		
TCU097	3	210.37 	2.54 	8.12 	8.72 	120.93	24.79		
TCU148	3	120.74 	9.02 	23.28 	18.20 	120.93	23.95		
TTN038	3	65.27 	4.68 	9.40 	5.78 	120.94	22.46		
TCU015	3	207.19 	6.80 	9.02 	7.40 	120.95	24.76		
TCU047	3	192.24 	4.98 	9.88 	8.80 	120.95	24.62		
TCU043	3	199.97 	2.66 	8.42 	9.70 	120.96	24.69		
TCU093	3	217.62 	2.46 	8.30 	6.00 	120.96	24.85		
TTN052	3	56.09 	10.72 	17.80 	22.72 	120.96	22.60		
TCU016	3	213.86 	2.48 	8.32 	7.24 	120.97	24.81		
TCU074	3	123.11 	5.84 	14.86 	17.46 	120.97	23.96		
TTN037	3	61.23 	5.16 	15.88 	7.70 	120.97	22.53		
TCU022	3	209.35 	4.10 	7.72 	8.20 	120.99	24.77		
TTN003	3	58.38 	11.10 	12.16 	10.44 	121.01	22.61		
TCU095	3	201.63 	3.98 	9.98 	7.18 	121.02	24.69		
TTN051	3	57.39 	12.42 	14.58 	14.92 	121.03	23.19		
TTN050	3	57.71 	10.20 	15.48 	15.84 	121.04	22.67		
TCU028	3	203.74 	4.94 	9.16 	10.64 	121.05	24.70		
TTN029	3	56.63 	9.58 	11.20 	9.84 	121.05	22.72		
TTN028	3	55.65 	17.00 	15.80 	17.92 	121.06	22.78		
TTN018	3	56.21 	10.38 	13.56 	22.20 	121.08	22.82		
TTN048	3	58.55 	14.54 	15.16 	21.88 	121.09	22.77		
TTN049	3	61.60 	17.70 	10.96 	11.52 	121.11	22.73		
TTN010	3	62.75 	23.22 	14.38 	15.76 	121.12	22.74		
TTN011	3	61.08 	20.82 	15.60 	14.46 	121.12	22.78		
TTN024	3	58.97 	14.36 	22.78 	22.14 	121.12	22.97		
TTN012	3	63.78 	10.30 	10.32 	12.82 	121.14	22.76		
TTN013	3	63.14 	7.60 	9.42 	10.18 	121.14	22.77		
TTN047	3	61.71 	8.98 	20.60 	17.88 	121.14	22.84		
TTN005	3	64.74 	13.74 	14.76 	13.60 	121.15	22.75		
TTN006	3	63.93 	8.98 	13.98 	13.24 	121.15	22.77		
TTN007	3	64.73 	7.72 	12.84 	13.78 	121.15	22.76		
TTN015	3	65.45 	8.90 	12.04 	17.02 	121.15	22.75		
TTN056	3	64.79 	6.20 	12.34 	12.84 	121.15	22.76		
TCU088	3	159.91 	3.06 	14.48 	8.92 	121.16	24.25		
TTN008	3	65.73 	9.32 	16.72 	17.08 	121.16	22.76		
