測站代碼 測站名稱 震度值 震央距(Km) 垂直向(gal) 南北向(gal) 東西向(gal) TWD97經度 TWD97緯度
CHY078 永康氣象站 5 108.14 20.94 43.84 86.92 120.24 23.04
TAI1 永康氣象站 5 108.14 20.58 44.50 87.57 120.24 23.04
CHY062 玉井國小 4 88.90 19.26 48.68 59.22 120.46 23.12
CHY015 白河國小 5 69.15 33.02 149.48 140.62 120.41 23.35
CHY088 河東國小 5 68.48 41.92 207.20 148.10 120.44 23.34
CHY060 安定國小 4 99.79 19.20 44.38 41.52 120.25 23.12
CHY058 渡拔國小 4 90.74 24.88 57.30 47.44 120.33 23.17
CHY050 水雲國小 5 75.78 27.40 66.10 104.98 120.42 23.28
CHY022 南化國小 4 96.34 22.96 43.96 63.70 120.47 23.04
CHY061 玉山國小 4 91.41 19.98 41.88 28.18 120.52 23.07
CHY049 後壁國小 5 71.17 27.94 102.04 98.52 120.37 23.37
CHY016 苓和國小 5 97.26 45.04 104.80 97.26 120.16 23.22
CHY063 口碑國小 4 103.50 25.78 64.90 58.26 120.35 23.03
CHY054 新營國小 5 79.46 33.44 93.66 93.02 120.32 23.31
CHY081 東山 4 72.57 25.54 43.78 53.18 120.50 23.27
CHY019 楠西國小 4 82.12 22.66 64.30 50.42 120.49 23.18
CHY023 歸南國小 4 112.45 17.82 58.02 46.18 120.29 22.96
CHY065 崇和國小 5 115.38 29.36 92.90 113.70 120.35 22.90
CHY090 大豐國小 4 89.15 29.66 70.64 75.30 120.22 23.27
ILA014 大洲國小 4 130.81 27.58 61.54 60.00 121.73 24.69
ILA024 憲明國小 4 120.67 25.60 33.02 41.22 121.62 24.66
ILA005 孝威國小 4 137.29 25.24 78.84 69.26 121.81 24.70
ILA008 學進國小 4 135.06 33.32 56.52 77.40 121.77 24.71
ILA042 五結國小 5 135.61 20.94 66.88 82.00 121.80 24.69
ILA043 順安分校 4 126.95 36.85 46.42 60.29 121.74 24.63
ILA044 順安國小 5 130.51 29.24 69.62 80.58 121.76 24.65
ILA046 廣興國小 4 129.76 30.26 52.16 66.52 121.74 24.66
ILA004 壯圍國小 4 139.28 25.36 62.92 71.84 121.79 24.74
