Origin Time:2018/02/06 23:50:42
Lon:121.69°E
Lat:24.14°N
Depth:10.0km
Mag:6.0
Stacode=ANP ,Staname=陽明山,Stalon=121.53,Stalat=25.18,Dist= 116.35,AZ=171.93,PGA(V)=   1.26,PGA(NS)=   3.05,PGA(EW)=   2.09
Stacode=NWR ,Staname=萬里  ,Stalon=121.66,Stalat=25.20,Dist= 117.47,AZ=178.50,PGA(V)=   1.32,PGA(NS)=   4.37,PGA(EW)=   3.23
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 119.56,AZ= 59.66,PGA(V)=   8.91,PGA(NS)=  20.10,PGA(EW)=  34.69
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 120.18,AZ= 15.65,PGA(V)=   4.07,PGA(NS)=  10.29,PGA(EW)=   9.09
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 124.82,AZ= 66.01,PGA(V)=   4.97,PGA(NS)=  11.49,PGA(EW)=  11.72
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 125.57,AZ= 22.52,PGA(V)=   5.26,PGA(NS)=  15.49,PGA(EW)=  11.07
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 125.73,AZ= 32.67,PGA(V)=   2.21,PGA(NS)=   4.31,PGA(EW)=   3.53
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 126.47,AZ= 68.01,PGA(V)=   4.31,PGA(NS)=  19.92,PGA(EW)=  12.38
Stacode=NSM ,Staname=石門  ,Stalon=121.59,Stalat=25.29,Dist= 127.26,AZ=175.35,PGA(V)=   1.85,PGA(NS)=   2.69,PGA(EW)=   2.51
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 135.53,AZ= 16.89,PGA(V)=   1.62,PGA(NS)=   3.89,PGA(EW)=   4.49
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 142.04,AZ= 51.90,PGA(V)=   4.25,PGA(NS)=  11.43,PGA(EW)=   8.31
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist= 143.96,AZ= 40.94,PGA(V)=   2.15,PGA(NS)=   2.75,PGA(EW)=   2.99
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 145.95,AZ= 77.68,PGA(V)=   2.21,PGA(NS)=   9.27,PGA(EW)=   7.30
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 146.80,AZ= 60.80,PGA(V)=   3.95,PGA(NS)=  12.56,PGA(EW)=  12.62
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist= 147.58,AZ= 47.57,PGA(V)=   2.45,PGA(NS)=   3.71,PGA(EW)=   3.11
Stacode=ECU ,Staname=初鹿  ,Stalon=121.09,Stalat=22.86,Dist= 154.69,AZ= 23.29,PGA(V)=   1.20,PGA(NS)=   2.93,PGA(EW)=   2.81
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 155.42,AZ= 51.22,PGA(V)=   2.99,PGA(NS)=   3.59,PGA(EW)=   4.91
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 158.96,AZ= 69.34,PGA(V)=   3.95,PGA(NS)=  11.07,PGA(EW)=   9.03
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 159.05,AZ= 48.18,PGA(V)=   2.27,PGA(NS)=   2.81,PGA(EW)=   3.41
Stacode=TWG ,Staname=卑南  ,Stalon=121.08,Stalat=22.82,Dist= 159.44,AZ= 23.02,PGA(V)=   0.84,PGA(NS)=   1.79,PGA(EW)=   1.85
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 162.60,AZ= 43.65,PGA(V)=   2.15,PGA(NS)=   3.59,PGA(EW)=   4.31
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 163.43,AZ= 19.57,PGA(V)=   2.21,PGA(NS)=   4.13,PGA(EW)=   4.91
Stacode=LDU ,Staname=綠島  ,Stalon=121.47,Stalat=22.67,Dist= 164.29,AZ=  7.91,PGA(V)=   0.60,PGA(NS)=   1.14,PGA(EW)=   1.26
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 164.89,AZ= 63.71,PGA(V)=   1.85,PGA(NS)=   7.06,PGA(EW)=   5.62
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 179.64,AZ= 48.86,PGA(V)=   3.23,PGA(NS)=   6.10,PGA(EW)=   4.31
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 181.36,AZ= 52.08,PGA(V)=   4.73,PGA(NS)=   6.70,PGA(EW)=   7.48
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 185.97,AZ= 54.75,PGA(V)=   1.20,PGA(NS)=   5.92,PGA(EW)=   9.09
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 186.78,AZ= 23.50,PGA(V)=   0.72,PGA(NS)=   0.96,PGA(EW)=   1.20
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 188.41,AZ= 34.72,PGA(V)=   1.68,PGA(NS)=   1.50,PGA(EW)=   1.74
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 192.30,AZ= 50.49,PGA(V)=   1.91,PGA(NS)=   5.14,PGA(EW)=   3.89
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist= 194.85,AZ= 41.33,PGA(V)=   1.74,PGA(NS)=   4.49,PGA(EW)=   5.44
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 197.36,AZ= 56.02,PGA(V)=   1.20,PGA(NS)=   4.97,PGA(EW)=   4.37
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 197.98,AZ= 49.98,PGA(V)=   1.50,PGA(NS)=   2.57,PGA(EW)=   2.87
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 198.82,AZ= 37.78,PGA(V)=   2.27,PGA(NS)=   4.79,PGA(EW)=   5.74
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 203.14,AZ= 36.94,PGA(V)=   1.26,PGA(NS)=   5.56,PGA(EW)=   3.05
Stacode=EAS ,Staname=安朔  ,Stalon=120.86,Stalat=22.38,Dist= 212.89,AZ= 23.62,PGA(V)=   0.84,PGA(NS)=   2.27,PGA(EW)=   1.02
Stacode=KAU ,Staname=高雄市,Stalon=120.32,Stalat=22.57,Dist= 224.13,AZ= 38.83,PGA(V)=   2.27,PGA(NS)=   5.08,PGA(EW)=   4.97
Stacode=SCZ ,Staname=枋寮  ,Stalon=120.63,Stalat=22.37,Dist= 224.36,AZ= 28.97,PGA(V)=   0.60,PGA(NS)=   1.02,PGA(EW)=   0.90
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 225.89,AZ= 73.55,PGA(V)=   1.62,PGA(NS)=   2.81,PGA(EW)=   2.15
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist= 228.39,AZ= 64.57,PGA(V)=   0.72,PGA(NS)=   1.08,PGA(EW)=   1.02
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 233.55,AZ=  3.33,PGA(V)=   0.48,PGA(NS)=   1.85,PGA(EW)=   1.62
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist= 240.49,AZ= 34.21,PGA(V)=   0.90,PGA(NS)=   1.68,PGA(EW)=   1.38
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 255.87,AZ= 22.22,PGA(V)=   0.78,PGA(NS)=   1.74,PGA(EW)=   1.62
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 259.72,AZ= 21.72,PGA(V)=   0.72,PGA(NS)=   1.68,PGA(EW)=   1.44
Stacode=TWK1,Staname=墾丁  ,Stalon=120.81,Stalat=21.94,Dist= 259.94,AZ= 20.22,PGA(V)=   0.42,PGA(NS)=   0.84,PGA(EW)=   0.60
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 262.61,AZ= 19.03,PGA(V)=   0.72,PGA(NS)=   1.38,PGA(EW)=   1.38
